version,codigo_ente,total_miembros_patronado,n_patronos_designados_cccaa_o_unidades_dependientes,n_patronos_designados_adinistraciones_pub,n_patronos_sector_privado
2019/01 situacion a  01/01/2019,09-08-167-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-00-022-H-H-000,19,5,4,10
2019/01 situacion a  01/01/2019,09-00-008-H-H-000,7,7,0,0
2019/01 situacion a  01/01/2019,09-00-054-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-08-170-H-H-000,34,6,20,8
2019/01 situacion a  01/01/2019,09-00-019-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,09-08-181-H-H-000,8,4,4,0
2019/01 situacion a  01/01/2019,09-08-171-H-H-000,14,12,0,2
2019/01 situacion a  01/01/2019,  09-08-145-N-N-000, , , , 
2019/01 situacion a  01/01/2019,09-08-189-H-H-000,13,10,3,0
2019/01 situacion a  01/01/2019,09-00-055-H-H-000,10,10,0,0
2019/01 situacion a  01/01/2019,09-00-039-H-H-000,14,13,0,1
2019/01 situacion a  01/01/2019,09-00-031-H-H-000,21,8,1,12
2019/01 situacion a  01/01/2019,09-00-074-H-H-000,20,5,10,5
2019/01 situacion a  01/01/2019,09-43-099-H-H-000,23,10,2,11
2019/01 situacion a  01/01/2019,09-00-005-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,09-00-064-H-H-000,7,5,2,0
2019/01 situacion a  01/01/2019,09-00-009-H-H-000,5,3,1,1
2019/01 situacion a  01/01/2019,09-00-063-H-H-000,13,13,0,0
2019/01 situacion a  01/01/2019,09-00-073-H-H-000,12,1,5,6
2019/01 situacion a  01/01/2019,09-00-077-H-H-000,0,0,0,0
2019/01 situacion a  01/01/2019,09-08-191-H-H-000,6,2,2,2
2019/01 situacion a  01/01/2019,09-00-011-N-N-000,5,2,2,1
2019/01 situacion a  01/01/2019,09-17-051-H-H-000,19,11,4,4
2019/01 situacion a  01/01/2019,09-08-186-H-H-000,11,8,0,3
2019/01 situacion a  01/01/2019,09-00-035-H-H-000,6,4,2,0
2019/01 situacion a  01/01/2019,09-00-067-H-H-000,11,4,6,1
2019/01 situacion a  01/01/2019,09-08-161-H-H-000,22,16,4,2
2019/01 situacion a  01/01/2019,09-00-038-H-H-000,21,15,1,5
2019/01 situacion a  01/01/2019,09-00-017-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-08-156-H-H-000,7,4,3,0
2019/01 situacion a  01/01/2019,09-00-003-H-H-000,24,21,1,2
2019/01 situacion a  01/01/2019,09-08-149-H-H-000,8,4,0,4
2019/01 situacion a  01/01/2019,09-08-188-H-H-000,5,2,0,3
2019/01 situacion a  01/01/2019,09-00-041-H-H-000,17,17,0,0
2019/01 situacion a  01/01/2019,09-00-053-H-H-000,14,7,0,7
2019/01 situacion a  01/01/2019,09-08-163-H-H-000,20,12,0,8
2019/01 situacion a  01/01/2019,09-00-037-H-H-000,11,11,0,0
2019/01 situacion a  01/01/2019,09-00-057-H-H-000,21,11,8,2
2019/01 situacion a  01/01/2019,03-33-006-H-H-000,16,8,0,8
2019/01 situacion a  01/01/2019,03-33-007-H-H-000,9,6,2,1
2019/01 situacion a  01/01/2019,03-00-017-H-H-000,13,2,8,3
2019/01 situacion a  01/01/2019,03-33-008-H-H-000,13,5,3,5
2019/01 situacion a  01/01/2019,03-00-006-H-H-000,6,2,0,4
2019/01 situacion a  01/01/2019,03-00-005-H-H-000,9,3,2,4
2019/01 situacion a  01/01/2019,03-33-005-H-H-000,9,8,1,0
2019/01 situacion a  01/01/2019,03-00-004-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,03-00-002-H-H-000,11,5,1,5
2019/01 situacion a  01/01/2019,03-00-007-H-H-000,11,2,9,0
2019/01 situacion a  01/01/2019,03-00-016-H-H-000,11,3,0,8
2019/01 situacion a  01/01/2019,03-00-015-H-H-000,9,1,2,6
2019/01 situacion a  01/01/2019,03-00-010-H-H-000,16,8,0,8
2019/01 situacion a  01/01/2019,03-00-009-H-H-000,11,5,0,6
2019/01 situacion a  01/01/2019,03-00-001-H-H-000,10,2,4,4
2019/01 situacion a  01/01/2019,03-00-014-H-H-000,10,4,4,2
2019/01 situacion a  01/01/2019,03-00-003-H-H-000,4,1,2,1
2019/01 situacion a  01/01/2019,18-00-001-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,18-51-001-H-H-000,4,3,1,0
